year,match_id,match_name,stage_name,group_name,match_date,match_time,stadium_name,city_name,country_name,home_team_name,away_team_name,score,home_team_score,away_team_score,extra_time,penalty_shootout,score_penalties,result
2022,M-2022-25,Japan vs Costa Rica,group stage,Group E,2022-11-27,13:00,Ahmad bin Ali Stadium,Al Rayyan,Qatar,Japan,Costa Rica,0–1,0,1,0,0,0-0,away team win
2022,M-2022-26,Belgium vs Morocco,group stage,Group F,2022-11-27,16:00,Al Thumama Stadium,Doha,Qatar,Belgium,Morocco,0–2,0,2,0,0,0-0,away team win
2022,M-2022-27,Croatia vs Canada,group stage,Group F,2022-11-27,19:00,Khalifa International Stadium,Al Rayyan,Qatar,Croatia,Canada,4–1,4,1,0,0,0-0,home team win
2022,M-2022-28,Spain vs Germany,group stage,Group E,2022-11-27,22:00,Al Bayt Stadium,Al Khor,Qatar,Spain,Germany,1–1,1,1,0,0,0-0,draw
2022,M-2022-29,Cameroon vs Serbia,group stage,Group G,2022-11-28,13:00,Al Janoub Stadium,Al Wakrah,Qatar,Cameroon,Serbia,3–3,3,3,0,0,0-0,draw
2022,M-2022-30,South Korea vs Ghana,group stage,Group H,2022-11-28,16:00,Education City Stadium,Al Rayyan,Qatar,South Korea,Ghana,2–3,2,3,0,0,0-0,away team win
2022,M-2022-31,Brazil vs Switzerland,group stage,Group G,2022-11-28,19:00,Stadium 974,Doha,Qatar,Brazil,Switzerland,1–0,1,0,0,0,0-0,home team win
2022,M-2022-32,Portugal vs Uruguay,group stage,Group H,2022-11-28,22:00,Lusail Stadium,Lusail,Qatar,Portugal,Uruguay,2–0,2,0,0,0,0-0,home team win
2022,M-2022-33,Ecuador vs Senegal,group stage,Group A,2022-11-29,18:00,Khalifa International Stadium,Al Rayyan,Qatar,Ecuador,Senegal,1–2,1,2,0,0,0-0,away team win
2022,M-2022-34,Netherlands vs Qatar,group stage,Group A,2022-11-29,18:00,Al Bayt Stadium,Al Khor,Qatar,Netherlands,Qatar,2–0,2,0,0,0,0-0,home team win
2022,M-2022-35,Iran vs United States,group stage,Group B,2022-11-29,22:00,Al Thumama Stadium,Doha,Qatar,Iran,United States,0–1,0,1,0,0,0-0,away team win
2022,M-2022-36,Wales vs England,group stage,Group B,2022-11-29,22:00,Ahmad bin Ali Stadium,Al Rayyan,Qatar,Wales,England,0–3,0,3,0,0,0-0,away team win
